Gene	"Gene synonym"	Uniprot
BRCA1	"BRCC1, FANCS, PPP1R53, RNF53"	P38398
BRCA2	"BRCC2, FACD, FAD, FAD1, FANCD, FANCD1, XRCC11"	P51587
BRCC3	"BRCC36, C6.1A, CXorf53"	P46736
BRD3	"KIAA0043, ORFX, RING3L"	Q15059
BRD4	"CAP, HUNK1, HUNKI, MCAP"	O60885
BRDT	"BRD6, CT9"	Q58F21
BRF1	"BRF, GTF3B, hBRF, TAF3B2, TAF3C, TFIIIB90"	Q92994
BRIP1	"BACH1, FANCJ, OF"	Q9BX63
BRPF1	BR140	P55201
BRWD3	"FLJ38568, MRX93"	Q6RI45
BSCL2	"GNG3LG, seipin, SPG17"	Q96G97
BSND	"BART, DFNB73"	Q8WZ55
BTBD9	"dJ322I12.1, KIAA1880"	Q96Q07
BTD		P43251
BTG1	APRO2	P62324
BTG4	"APRO3, PC3B"	Q9NY30
BTK	"AGMX1, ATK, IMD1, PSCTK1, XLA"	Q06187
BUB1B	"Bub1A, BUBR1, MAD3L, SSK1"	O60566
BUD23	"MERM1, MGC19709, MGC2022, MGC5140, PP3381, WBMT, WBSCR22"	O43709
BVES	"HBVES, POP1, POPDC1"	Q8NE79
C11orf80	"FLJ22531, TOPOVIBL"	Q8N6T0
C12orf4		Q9NQ89
C12orf57	"C10, GRCC10"	Q99622
C14orf39	SIX6OS1	Q8N1H7
C18orf32	FLJ23458	Q8TCD1
C19orf12	"DKFZP762D096, MGC10922, MPAN, NBIA4, SPG43"	Q9NSK7
C1GALT1C1	"C1GALT2, COSMC"	Q96EU7
C1QA		P02745
C1QBP	"gC1Q-R, gC1qR, HABP1, p32, SF2p32"	Q07021
C1QC	C1QG	P02747
C1QTNF5	"CTRP5, DKFZp586B0621, LORD"	Q9BXJ0
C1S		P09871
C2		P06681
C2CD3	DKFZP586P0123	Q4AC94
C2CD6	"ALS2CR11, FLJ25351"	Q53TS8
C2orf69	FLJ38973	Q8N8R5
C3	"ARMD9, C3a, C3b, CPAMD1"	P01024
C4A	"C4, C4A2, C4A3, C4A4, C4A6, C4B, C4S, CO4, CPAMD2, RG"	P0C0L4
C4B	"C4B1, C4B3, C4F, CH, CO4, CPAMD3"	P0C0L5
C4orf54	"FOPV, LOC285556"	D6RIA3
C5	"C5a, C5b, CPAMD4"	P01031
C6		P13671
C7		P10643
C8A		P07357
C8B		P07358
C9		P02748
C9orf72	"DENND9, DENNL72, MGC23980"	Q96LT7
CA12	HsT18816	O43570
CA2	"CA-II, CAII, Car2"	P00918
CA4	"CAIV, Car4, RP17"	P22748
CA5A	"CA5, CAV, CAVA"	P35218
CA8	"CALS, CARP"	P35219
CABP2	DFNB93	Q9NPB3
CABP4	CSNB2B	P57796
CACNA1A	"APCA, CACNL1A4, Cav2.1, EA2, FHM, HPCA, MHP, MHP1, SCA6"	O00555
CACNA1B	"CACNL1A5, CACNN, Cav2.2"	Q00975
CACNA1C	"CACH2, CACN2, CACNL1A1, Cav1.2, CCHL1A1, LQT8, TS"	Q13936
CACNA1D	"CACH3, CACN4, CACNL1A2, Cav1.3, CCHL1A2"	Q01668
CACNA1E	"BII, CACH6, CACNL1A6, Cav2.3"	Q15878
CACNA1F	"AIED, Cav1.4, CORDX3, CSNB2, CSNB2A, CSNBX2, JM8, JMC8, OA2"	O60840
CACNA1G	"Cav3.1, NBR13"	O43497
CACNA1H	Cav3.2	O95180
CACNA1S	"CACNL1A3, Cav1.1, HOKPP, hypoPP, MHS5"	Q13698
CACNA2D2	"alpha2delta-2, KIAA0558"	Q9NY47
CACNA2D4	alpha2delta-4	Q7Z3S7
CACNB2	"CACNLB2, MYSB"	Q08289
CACNB4	EJM4	O00305
CACNG2	"MGC138502, MGC138504, stargazin"	Q9Y698
CAD	GATD4	P27708
CADM3	"BIgR, FLJ10698, IGSF4B, Necl-1, NECL1, SynCAM3, TSLL1"	Q8N126
CALCRL	"CGRPR, CRLR"	Q16602
CALM1	"CALML2, CAMI, DD132, PHKD, PHKD1"	P0DP23
CALM2	"CAMII, PHKD, PHKD2"	P0DP24
CALM3	"PHKD, PHKD3"	P0DP25
CALR	"cC1qR, CRT, FLJ26680, RO, SSA"	P27797
CAMK2A	"CAMKA, CaMKIIalpha, CaMKIINalpha, KIAA0968"	Q9UQM7
CAMK2B	"CAM2, CAMK2, CAMKB, CaMKIIbeta"	Q13554
CAMK2G	CAMKG	Q13555
CAMKMT	"C2orf34, CLNMT"	Q7Z624
CAMSAP2	"CAMSAP1L1, KIAA1078"	Q08AD1
CAMTA1	KIAA0833	Q9Y6Y1
CANT1	"SCAN-1, SHAPY"	Q8WVQ1
CAPN1	"CANP, CANPL1, muCANP, muCL"	P07384
CAPN10		Q9HC96
CAPN15	SOLH	O75808
CAPN3	"CANP3, LGMD2, LGMD2A, nCL-1, p94"	P20807
CAPN5	"ADNIV, HTRA3, nCL-3, VRNI"	O15484
CARD10	"BIMP1, CARMA3"	Q9BWT7
CARD11	"BIMP3, CARMA1"	Q9BXL7
CARD14	"BIMP2, CARMA2, PSORS2"	Q9BXL6
CARD8	"CARDINAL, Dakar, KIAA0955, NDPP, TUCAN"	Q9Y2G2
CARD9		Q9H257
CARMIL2	"LRRC16C, RLTPR"	Q6F5E8
CARS1	CARS	P49589
CARS2	FLJ12118	Q9HA77
CASK	"CAGH39, FGS4, LIN2, TNRC8"	O14936
CASP10	"FLICE-2, MCH4"	Q92851
CASP14	"MGC119078, MGC119079, MICE"	P31944
CASP8	"Casp-8, FLICE, MACH, MCH5"	Q14790
CASQ1	"CASQ, PDIB1"	P31415
CASQ2	PDIB2	O14958
CASR	"FHH, GPRC2A, HHC, HHC1, NSHPT"	P41180
CAST		P20810
CAT		P04040
CATIP	"C2orf62, MGC50811"	Q7Z7H3
CATSPER1	CATSPER	Q8NEC5
CATSPER2		Q96P56
CAV1	CAV	Q03135
CAV3	"LGMD1C, LQT9, VIP-21, VIP21"	P56539
CAVIN1	"cavin-1, CGL4, PTRF"	Q6NZI2
CBFA2T2	"MTGR1, ZMYND3"	O43439
CBFA2T3	"ETO2, MTG16, MTGR2, RUNX1T3, ZMYND4"	O75081
CBFB	PEBP2B	Q13951
CBL	"c-Cbl, CBL2, RNF55"	P22681
CBLIF	"GIF, IF, IFMH, INF, TCN3"	P27352
CBS	HIP4	P35520
CBX2	"CDCA6, M33, MGC10561"	Q14781
CC2D1A	"Aki-1, FLJ20241, Freud-1, Lgd2, MRT3, TAPE"	Q6P1N0
CC2D2A	"JBTS9, KIAA1345, MKS6"	Q9P2K1
CCBE1	"FLJ30681, KIAA1983"	Q6UXH8
CCDC103	"CILD17, FLJ13094, FLJ34211, PR46b"	Q8IW40
CCDC115	"ccp1, FLJ30131, MGC12981"	Q96NT0
CCDC134	FLJ22349	Q9H6E4
CCDC174	"C3orf19, ctr1, FLJ33839"	Q6PII3
CCDC22	"CXorf37, JM1"	O60826
CCDC28B	"MGC1203, RP4-622L5.5"	Q9BUN5
CCDC32	"C15orf57, MGC20481"	Q9BV29
CCDC34	"L15, NY-REN-41, RAMA3"	Q96HJ3
CCDC39	"CFAP59, CILD14, DKFZp434A128, FAP59"	Q9UFE4
CCDC40	"CFAP172, CILD15, FAP172, FLJ20753, FLJ32021, KIAA1640"	Q4G0X9
CCDC47	GK001	Q96A33
CCDC50	"C3orf6, DFNA44, Ymer"	Q8IVM0
CCDC6	"D10S170, H4, PTC, TPC, TST1"	Q16204
CCDC62	"CT109, ERAP75, FLJ40344, TSP-NY"	Q6P9F0
CCDC65	"CFAP250, CILD27, DRC2, FAP250, FLJ35732, NYD-SP28"	Q8IXS2
CCDC78	"C16orf25, FLJ34512"	A2IDD5
CCDC8	"3M3, DKFZp564K0322, PPP1R20"	Q9H0W5
CCDC88A	"APE, FLJ10392, GIV, GRDN, HkRP1, KIAA1212"	Q3V6T2
CCDC88C	"DAPLE, HkRP2, KIAA1509, SCA40"	Q9P219
CCM2	"C7orf22, MGC4607, OSM"	Q9BSQ5
CCN6	"WISP-3, WISP3"	O95389
CCND1	"BCL1, D11S287E, PRAD1, U21B31"	P24385
CCND2		P30279
CCNF	"FBX1, FBXO1"	P41002
CCNK	CPR4	O75909
CCNO	"CCNU, FLJ22422, UDG2, UNG2"	P22674
CCNQ	"CycM, FAM58A"	Q8N1B3
CCR5	"CC-CKR-5, CD195, CKR-5, CKR5, CMKBR5, IDDM22"	P51681
CCT5	KIAA0098	P48643
CD151	"PETA-3, RAPH, SFA-1, TSPAN24"	P48509
CD164	"DFNA66, MGC-24, MUC-24"	Q04900
CD19		P15391
CD207	"CLEC4K, Langerin"	Q9UJ71
CD24	CD24A	P25063
CD247	"CD3-ZETA, CD3H, CD3Q, CD3Z, CD3ZETA, TCRZ"	P20963
CD27	"S152, TNFRSF7, Tp55"	P26842
CD274	"B7-H, B7-H1, B7H1, PD-L1, PDCD1LG1, PDL1"	Q9NZQ7
CD2AP	CMS	Q9Y5K6
CD320	"8D6, 8D6A, TCblR"	Q9NPF0
CD36	"FAT, GP3B, GP4, GPIV, SCARB3"	P16671
CD3D	"CD3-DELTA, CD3DELTA, T3D"	P04234
CD3E	"CD3-epsilon, CD3epsilon"	P07766
CD3G	"CD3-GAMMA, CD3GAMMA"	P09693
CD4		P01730
CD40	"Bp50, p50, TNFRSF5"	P25942
CD40LG	"CD154, CD40-L, CD40L, gp39, hCD40L, HIGM1, IMD3, T-BAM, TNFSF5, TRAP"	P29965
CD46	"MCP, MGC26544, MIC10, TLX, TRA2.10"	P15529
CD55	"CR, CROM, DAF, TC"	P08174
CD59	"16.3A5, EJ16, EJ30, EL32, G344, MIC11, MIN1, MIN2, MIN3, MSK21, p18-20"	P13987
CD70	"CD27L, CD27LG, TNFSF7"	P32970
CD74	"CLIP, DHLAG"	P04233
CD79A	"Ig-alpha, IGA, IGAlpha, MB-1, MB1"	P11912
CD79B	"B29, Ig-beta, IGB, Igbeta"	P40259
CD81	"TAPA-1, TAPA1, TSPAN28"	P60033
CD8A	CD8	P01732
CD96	TACTILE	P40200
CDAN1	"CDA-I, CDAI"	Q8IWY9
CDC14A	"cdc14, Cdc14A1, Cdc14A2, DFNB105, DFNB32"	Q9UNH5
CDC40	"EHB3, FLJ10564, PRP17, PRPF17"	O60508
CDC42	"CDC42Hs, G25K"	P60953
CDC42BPB	"KIAA1124, MRCKB"	Q9Y5S2
CDC45	"CDC45L, CDC45L2"	O75419
CDC5L	"CDC5, CEF1, hCDC5, PCDC5RP"	Q99459
CDC6	CDC18L	Q99741
CDC73	"C1orf28, FIHP, HRPT1, HRPT2, parafibromin"	Q6P1J9
CDCA7	"FLJ14736, JPO1"	Q9BWT1
CDH1	"CD324, UVO, uvomorulin"	P12830
CDH11	"CAD11, OB"	P55287
CDH15	"CDH14, CDH3"	P55291
CDH2	"CD325, CDHN, NCAD"	P19022
CDH23	"CDHR23, DFNB12, USH1D"	Q9H251
CDH3	"CDHP, PCAD"	P22223
CDHR1	"CORD15, KIAA1775, PCDH21, RP65"	Q96JP9
CDHR3	"CDH28, FLJ23834, FLJ44366"	Q6ZTQ4
CDIN1	"C15orf41, FLJ22851, HH114, MGC11326"	Q9Y2V0
CDK10	PISSLRE	Q15131
CDK12	"CRK7, CRKR, CRKRS, KIAA0904"	Q9NYV4
CDK13	"CDC2L, CDC2L5, CHED, KIAA1791"	Q14004
CDK19	"bA346C16.3, CDC2L6, CDK11, KIAA1028"	Q9BWU1
CDK4	PSK-J3	P11802
CDK5	PSSALRE	Q00535
CDK5RAP2	"C48, CEP215, FLJ10867, MCPH3"	Q96SN8
CDK6	PLSTIRE	Q00534
CDK8	K35	P49336
CDK9	"C-2k, CDC2L4, PITALRE, TAK"	P50750
CDKAL1	FLJ20342	Q5VV42
CDKL5	"CFAP247, EIEE2, STK9"	O76039
CDKN1B	"KIP1, P27KIP1"	P46527
CDKN1C	"BWCR, BWS, KIP2, P57"	P49918
CDKN2A	"ARF, CDK4I, CDKN2, CMM2, INK4, INK4a, MLM, MTS1, p14, p14ARF, p16, P16-INK4A, p16INK4a, p19, p19Arf"	"P42771, Q8N726"
CDKN3	"CDI1, KAP"	Q16667
CDON	"CDO, CDON1, Ihog, ORCAM"	Q4KMG0
CDT1	"DUP, RIS2"	Q9H211
CEACAM16	DFNA4B	Q2WEN9
CEBPA	"C/EBP-alpha, CEBP"	P49715
CEBPE	CRP1	Q15744
CEL	"BSSL, MODY8"	P19835
CELA2A	ELA2A	P08217
CELF2	"BRUNOL3, CUGBP2, Etr-3, NAPOR-2"	O95319
CELSR1	"ADGRC1, CDHF9, FMI2, HFMI2, ME2"	Q9NYQ6
CENPE	"KIF10, PPP1R61"	Q02224
CENPF	hcp-1	P49454
CENPJ	"BM032, CPAP, LAP, LIP1, MCPH6, Sas-4, SASS4, SCKL4"	Q9HC77
CENPK	"CENP-K, FKSG14, SOLT"	Q9BS16
CENPT	"C16orf56, CENP-T, FLJ13111"	Q96BT3
CEP104	"CFAP256, GlyBP, JBTS25, KIAA0562, ROC22, RP1-286D6.4"	O60308
CEP112	"CCDC46, MGC33887"	Q8N8E3
CEP120	"CCDC100, FLJ36090"	Q8N960
CEP135	"CEP4, FLJ13621, KIAA0635"	Q66GS9
CEP152	"KIAA0912, MCPH9, SCKL5"	O94986
CEP164	"KIAA1052, NPHP15"	Q9UPV0
CEP19	"C3orf34, MGC14126"	Q96LK0
CEP250	"C-NAP1, CEP2"	Q9BV73
CEP290	"3H11Ag, BBS14, CT87, FLJ13615, JBTS5, KIAA0373, LCA10, MKS4, NPHP6, POC3, rd16, SLSN6"	O15078
CEP41	"DKFZp762H1311, FLJ22445, JBTS15, TSGA14"	Q9BYV8
CEP43	"FGFR1OP, FOP"	O95684
CEP55	"C10orf3, CT111, FLJ10540"	Q53EZ4
CEP57	"KIAA0092, Translokin, TSP57"	Q86XR8
CEP63	FLJ13386	Q96MT8
CEP78	"C9orf81, FLJ12643"	Q5JTW2
CEP83	"CCDC41, NPHP18, NY-REN-58"	Q9Y592
CEP85L	"bA57K17.2, C6orf204, NY-BR-15"	Q5SZL2
CEP89	"CCDC123, FLJ14640"	Q96ST8
CERKL	RP26	Q49MI3
CERS1	"LAG1, LASS1, UOG1"	P27544
CERS3	"LASS3, MGC27091"	Q8IU89
CERT1	"CERT, COL4A3BP, GPBP, STARD11"	Q9Y5P4
CETP	BPIFF	P11597
CFAP251	"CaM-IP4, MGC33630, WDR66"	Q8TBY9
CFAP276	C1orf194	Q5T5A4
CFAP298	"C21orf48, C21orf59, CILD26, DNAAF16, FBB18, FLJ20467, Kur"	P57076
CFAP300	"C11orf70, DNAAF17, FBB5, MGC13040"	Q9BRQ4
CFAP410	"A2, C21orf2, LRRC76, YF5"	O43822
CFAP418	"BBS21, C8orf37, CORD16, FAP418, FLJ30600, MOT25, RP64"	Q96NL8
CFAP43	"bA373N18.2, C10orf79, FLJ22944, FLJ36006, WDR96"	Q8NDM7
CFAP44	"FLJ11142, WDR52"	Q96MT7
CFAP45	"CCDC19, NESG1"	Q9UL16
CFAP47	"CHDC2, CXorf22, CXorf30, CXorf59, FLJ36601, MGC34831, RP13-11B7.1"	Q6ZTR5
CFAP52	"FLJ37528, WDR16, WDRPUH"	Q8N1V2
CFAP53	"CCDC11, FLJ32743"	Q96M91
CFAP58	"bA554P13.1, C10orf80, CCDC147, FLJ35908"	Q5T655
CFAP65	"CCDC108, DKFZp434O0527, MGC35338"	Q6ZU64
CFAP69	"C7orf63, FAP69, FLJ21062"	A5D8W1
CFAP91	"AAT-1, AAT1, AAT1alpha, C3orf15, CaM-IP2, MAATS1, SPATA26"	Q7Z4T9
CFB	"BF, BFD, H2-Bf"	P00751
CFC1	"CRYPTIC, HTX2"	P0CG37
CFD	"ADN, DF, PFD"	P00746
CFH	"ARMD4, ARMS1, FHL1, HF, HF1, HF2, HUS"	P08603
CFHR1	"CFHL, CFHL1, CFHL1P, CFHR1P, FHR1, H36-1, H36-2, HFL1, HFL2"	Q03591
CFHR3	"CFHL3, DOWN16, FHR-3, FHR3, HLF4"	Q02985
CFHR5	"CFHL5, FHR-5, FHR5"	Q9BXR6
CFI	"C3b-INA, FI, IF, KAF"	P05156
CFL2	NEM7	Q9Y281
CFP	PFC	P27918
CFTR	"ABC35, ABCC7, CF, CFTR/MRP, dJ760C5.1, MRP7, TNR-CFTR"	P13569
CGNL1	"FLJ14957, JACOP, KIAA1749, PCING"	Q0VF96
CHAT		P28329
CHCHD10	"C22orf16, MIX17A, N27C7-4"	Q8WYQ3
CHCHD2	"C7orf17, MIX17B, MNRR1"	Q9Y6H1
CHCHD7	"COX23, MGC2217"	Q9BUK0
CHD1		O14646
CHD2	"DKFZp547I1315, DKFZp686E01200, DKFZp781D1727, FLJ38614"	O14647
CHD3	"Mi-2a, Mi2-ALPHA, ZFH"	Q12873
CHD4	"Mi-2b, Mi2-BETA"	Q14839
CHD5		Q8TDI0
CHD6	"CHD5, dJ620E11.1, FLJ22369, KIAA1335, RIGB"	Q8TD26
CHD7	"CRG, FLJ20357, FLJ20361, KIAA1416"	Q9P2D1
CHD8	"DUPLIN, HELSNF1, KIAA1564"	Q9HCK8
CHEK2	"bA444G7, CDS1, CHK2, HuCds1, PP1425, RAD53"	O96017
CHI3L1	"GP39, YK-40, YKL40"	P36222
CHIC2	BTL	Q9UKJ5
CHKB	"CHETK, CHKL"	Q9Y259
CHM	"DXS540, REP-1, TCD"	P24386
CHMP1A	"CHMP1, KIAA0047, PCOLN3, PRSM1, Vps46A"	Q9HD42
CHMP2B	"CHMP2.5, DKFZP564O123, VPS2B"	Q9UQN3
CHMP4B	"C20orf178, dJ553F4.4, Shax1, SNF7-2, VPS32B"	Q9H444
CHN1	"ARHGAP2, CHN, DURS2, n-chimerin, RhoGAP2"	P15882
CHP1	"CHP, p22, p24, Sid470p, SLC9A1BP"	Q99653
CHRDL1	"CHL, MGC1, NRLN1"	Q9BU40
CHRM2		P08172
CHRM3		P20309
CHRNA1	CHRNA	P02708
CHRNA2		Q15822
CHRNA3		P32297
CHRNA4	"BFNC, EBN, EBN1"	P43681
CHRNB1	CHRNB	P11230
CHRNB2		P17787
CHRND	ACHRD	Q07001
CHRNE	ACHRE	Q04844
CHRNG	ACHRG	P07510
CHST11	"C4ST, C4St-1, C4ST1, HSA269537"	Q9NPF2
CHST14	"D4ST-1, D4ST1, HD4ST"	Q8NCH0
CHST3	"C6ST, C6ST1"	Q7LGC8
CHST6	MCDC1	Q9GZX3
CHST8	GALNAC4ST-1	Q9H2A9
CHSY1	"CSS1, KIAA0990"	Q86X52
CHUK	"IkBKA, IKK-alpha, IKK1, IKKA, NFKBIKA, TCF16"	O15111
CIB1	"CIB, KIP, SIP2-28"	Q99828
CIB2	"DFNB48, KIP2, USH1J"	O75838
CIBAR1	"BARMR1, FAM92A, FAM92A1, FLJ38979"	A1XBS5
CIC	KIAA0306	Q96RK0
CIDEA	CIDE-A	O60543
CIDEC	"CIDE-3, FLJ20871, Fsp27"	Q96AQ7
CIITA	"C2TA, MHC2TA, NLRA"	P33076
CILK1	"ICK, KIAA0936, LCK2, MGC46090, MRK"	Q9UPZ9
CILP	HsT18872	O75339
CIROP	LMLN2	A0A1B0GTW7
CISD2	"ERIS, Miner1, NAF-1, WFS2, ZCD2"	Q8N5K1
CIT	"CITK, CRIK, KIAA0949, STK21"	O14578
CITED2	MRG1	Q99967
CIZ1	"LSFR1, ZNF356"	Q9ULV3
CKAP2L	"FLJ40629, radmis"	Q8IYA6
CLCC1	MCLC	Q96S66
CLCF1	"BSF-3, BSF3, CISS2, CLC, NNT-1, NNT1, NR6"	Q9UBD9
CLCN1	"ClC-1, CLC1"	P35523
CLCN2	"ClC-2, CLC2, EJM6"	P51788
CLCN3	"ClC-3, CLC3"	P51790
CLCN4	"ClC-4, CLC4"	P51793
CLCN5	"ClC-5, CLC5, DENTS, hCIC-K2, hClC-K2, NPHL1, NPHL2, XLRH, XRN"	P51795
CLCN6	"CLC-6, KIAA0046"	P51797
CLCN7	"CLC-7, CLC7, OPTA2, PPP1R63"	P51798
CLCNKA	hClC-Ka	P51800
CLCNKB	hClC-Kb	P51801
CLDN1	"ILVASC, SEMP1"	O95832
CLDN10	"CPETRL3, OSP-L"	P78369
CLDN11	"OSP, OTM"	O75508
CLDN14	DFNB29	O95500
CLDN16	"HOMG3, PCLN1"	Q9Y5I7
CLDN19		Q8N6F1
CLDN2		P57739
CLDN3	"C7orf1, CPE-R2, CPETR2, HRVP1, RVP1"	O15551
CLDN4	"CPE-R, CPETR, CPETR1, hCPE-R, WBSCR8"	O14493
CLDN9		O95484
CLEC16A	"Gop-1, KIAA0350"	Q2KHT3
CLEC3B	"TN, TNA"	P05452
CLEC7A	"CD369, CLECSF12, DECTIN-1, hDectin-1, SCARE2"	Q9BXN2
CLIC2	"CLCNL2, XAP121"	O15247
CLIC5	DFNB102	Q9NZA1
CLIP2	"CLIP, CLIP-115, CYLN2, KIAA0291, WBSCR3, WBSCR4, WSCR3, WSCR4"	Q9UDT6
CLMP	"ACAM, ASAM, FLJ22415"	Q9H6B4
CLN3	"BTN1, BTS, JNCL"	Q13286
CLN5		O75503
CLN6	"FLJ20561, HsT18960, nclf"	Q9NWW5
CLN8	"C8orf61, EPMR, FLJ39417, TLCD6"	Q9UBY8
CLP1	"hClp1, HEAB"	Q92989
CLPB	"ANKCLB, FLJ13152, HSP78, SKD3"	Q9H078
CLPP		Q16740
CLPX		O76031
CLRN1	"RP61, USH3, USH3A"	P58418
CLRN2	DFNB117	A0PK11
CLTC	"CLTCL2, Hc"	Q00610
CMC4	"MTCP1, MTCP1NB, p8, P8MTCP1"	P56277
CNBP	"CNBP1, DM2, RNF163, ZCCHC22, ZNF9"	P62633
CNGA1	"CNCG, CNCG1, CNG1, RCNC1, RCNCa, RP49"	P29973
CNGA3	"ACHM2, CCNC1, CCNCa, CNCG3, CNG3"	Q16281
CNGB1	"CNCG2, CNCG3L, CNGB1B, GAR1, GARP, RCNC2, RCNCb, RP45"	Q14028
CNGB3	"ACHM1, ACHM3, RMCH"	Q9NQW8
CNKSR2	"CNK2, KIAA0902, KSR2"	Q8WXI2
CNNM2	ACDP2	Q9H8M5
CNNM4	"ACDP4, KIAA1592"	Q6P4Q7
CNOT1	"AD-005, CDC39, KIAA1007, NOT1, NOT1H"	A5YKK6
CNOT2	"CDC36, NOT2, NOT2H"	Q9NZN8
CNOT3	"KIAA0691, LENG2, NOT3, NOT3H"	O75175
CNP		P09543
CNPY3	"CAG4A, TNRC5"	Q9BT09
CNR1	"CANN6, CB-R, CB1, CB1A, CB1K5, CNR"	P21554
CNTN1	"F3, GP135"	Q12860
CNTN2	"AXT, TAG-1, TAX, TAX1"	Q02246
CNTN4	BIG-2	Q8IWV2
CNTNAP1	"Caspr, CNTNAP, NRXN4, p190"	P78357
CNTNAP2	"Caspr2, KIAA0868, NRXN4"	Q9UHC6
CNTRL	"CEP1, CEP110"	Q7Z7A1
COA3	"CCDC56, COX25, hCOA3, HSPC009, MITRAC12"	Q9Y2R0
COA5	"C2orf64, FLJ27524, MGC52110, Pet191"	Q86WW8
COA6	C1orf31	Q5JTJ3
COA7	"C1orf163, FLJ12439, RESA1, SELRC1"	Q96BR5
COA8	"APOP-1, APOPT1, C14orf153, MGC2562"	Q96IL0
COASY	"DPCK, NBP, PPAT"	Q13057
COCH	"COCH-5B2, DFNA31, DFNA9"	O43405
COG1	"KIAA1381, LDLB"	Q8WTW3
COG2	LDLC	Q14746
COG5	"GOLTC1, GTC90"	Q9UP83
COG6	"COD2, KIAA1134"	Q9Y2V7
COG7		P83436
COG8	"DOR1, FLJ22315"	Q96MW5
COL10A1		Q03692
COL11A1	"CO11A1, COLL6, DFNA37, STL2"	P12107
COL11A2	"DFNA13, DFNB53, HKE5"	P13942
COL12A1	COL12A1L	Q99715
COL13A1		Q5TAT6
COL17A1	"BP180, BPAG2"	Q9UMD9
COL18A1	"KNO, KNO1, KS"	P39060
COL1A1	OI4	P02452
COL1A2	OI4	P08123
COL25A1		Q9BXS0
COL27A1	"FLJ11895, KIAA1870, MGC11337"	Q8IZC6
COL2A1	"AOM, SEDC, STL1"	P02458
COL3A1	EDS4A	P02461
COL4A1		P02462
COL4A2	"DKFZp686I14213, FLJ22259"	P08572
COL4A3		Q01955
COL4A4	CA44	P53420
COL4A5	"ASLN, ATS"	P29400
COL4A6		Q14031
COL5A1		P20908
COL5A2		P05997
COL6A1		P12109
COL6A2		P12110
COL6A3		P12111
COL7A1	"EBD1, EBDCT, EBR1"	Q02388
COL8A2	"FECD, FECD1, PPCD, PPCD2"	P25067
COL9A1		P20849
COL9A2	"EDM2, MED"	Q14055
COL9A3	"DJ885L7.4.1, EDM3, FLJ90759, IDD, MED"	Q14050
COLEC10	"CL-10, CL-L1"	Q9Y6Z7
COLEC11	"CL-11, CL-K1, MGC3279"	Q9BWP8
COLGALT1	"FLJ22329, GLT25D1"	Q8NBJ5
COLQ	EAD	Q9Y215
COMP	"EDM1, EPD1, MED, PSACH, THBS5"	P49747
COMT		P21964
COPA	HEP-COP	P53621
COPB1	COPB	P53618
COPB2	"beta'-COP, betaprime-COP"	P35606
COQ2	"CL640, FLJ26072"	Q96H96
COQ4	CGI-92	Q9Y3A0
COQ5	MGC4767	Q5HYK3
COQ6	CGI-10	Q9Y2Z9
COQ7	"CAT5, CLK-1"	Q99807
COQ8A	"ADCK3, CABC1, COQ8, SCAR9"	Q8NI60
COQ8B	"ADCK4, COQ8, FLJ12229"	Q96D53
COQ9	"C16orf49, DKFZP434K046"	O75208
CORIN	"ATC2, CRN, Lrp4, PRSC, TMPRSS10"	Q9Y5Q5
CORO1A	"coronin-1, HCORO1, p57"	P31146
COX10		Q12887
COX14	"C12orf62, MGC14288"	Q96I36
COX15	CEMCOX2	Q7KZN9
COX16	"C14orf112, HSPC203"	Q9P0S2
COX20	"FAM36A, FLJ43269"	Q5RI15
COX4I1	"COX4, COX4-1, COXIV, COXIV-1"	P13073
COX4I2	"COX4-2, COX4B, COX4L2, COXIV-2, dJ857M17.2"	Q96KJ9
COX5A		P20674
COX6A1	"COX6A, COX6AL"	P12074
COX6A2	"COX6AH, COXVIa-M, COXVIAH"	Q02221
COX6B1	"COX6B, COXG"	P14854
COX7B		P24311
COX8A	"COX, COX8, COX8-2, COX8L, VIII, VIII-L"	P10176
CP	AB073614	P00450
CPA6	CPAH	Q8N4T0
CPAMD8	"K-CAP, KIAA1283, VIP"	Q8IZJ3
CPE		P16870
CPLANE1	"C5orf42, FLJ13231, Hug, JBTS17"	Q9H799
CPLX1	CPX-I	O14810
CPN1		P15169
CPOX	"CPO, CPX, HCP"	P36551
CPS1	GATD6	P31327
CPSF1	CPSF160	Q10570
CPSF3	"CPSF-73, CPSF73, YSH1"	Q9UKF6
CPT1A	"CPT1, CPT1-L, L-CPT1"	P50416
CPT1C	"CATL1, CPT1P, CPTIC, FLJ23809"	Q8TCG5
CPT2	"CPT1, CPTASE"	P23786
CR2	"C3DR, CD21"	P20023
CRACD	"CRAD, KIAA1211"	Q6ZU35
CRADD	RAIDD	P78560
CRAT	CAT1	P43155
CRB1	"LCA8, RP12"	P82279
CRB2	"FLJ16786, FLJ38464"	Q5IJ48
CRBN	"MRT2, MRT2A"	Q96SW2
CREB1		P16220
CREB3L1	OASIS	Q96BA8
CREB3L2	"BBF2H7, TCAG_1951439"	Q70SY1
CREB3L3	"CREB-H, CREBH"	Q68CJ9
CREBBP	"CBP, KAT3A, RSTS, RTS"	Q92793
CRELD1	"AVSD2, CIRRIN"	Q96HD1
CRIPT	HSPC139	Q9P021
CRLF1	"CISS, CISS1, CLF, CLF-1"	O75462
CRNN	"C1orf10, SEP53"	Q9UBG3
CRPPA	"hCG_1745121, ISPD, Nip"	A4D126
